id;override_date;closed;start_time;end_time;note;professional_id
1;2026-08-25;false;22:51:00;16:22:00;patroller;1
2;2026-08-25;false;19:05:00;21:22:00;vanish wrongly er;2
3;2026-08-25;false;03:19:00;00:23:00;including;3
4;2026-08-24;false;04:10:00;00:33:00;commemorate;4
5;2026-08-25;true;21:39:00;01:18:00;if with;5
6;2026-08-25;false;15:36:00;09:48:00;daintily;6
7;2026-08-25;false;18:40:00;08:59:00;valuable;7
8;2026-08-25;false;14:28:00;17:18:00;um;8
9;2026-08-25;true;05:54:00;22:31:00;hm gladly pleased;9
10;2026-08-25;true;18:12:00;23:05:00;of;10
11;2026-08-25;false;00:32:00;01:55:00;redraw statue around;11
12;2026-08-25;true;07:10:00;14:40:00;recklessly whenever;12
13;2026-08-25;true;11:55:00;08:31:00;at;13
14;2026-08-25;false;11:30:00;15:39:00;paintwork;14
15;2026-08-25;true;07:35:00;13:24:00;after;15
16;2026-08-25;true;16:03:00;08:13:00;microblog;16
17;2026-08-25;true;23:27:00;02:14:00;incidentally um;17
18;2026-08-25;true;12:10:00;16:04:00;phooey boastfully;18
19;2026-08-25;true;14:03:00;16:47:00;save duh kaleidoscopic;19
20;2026-08-25;true;01:55:00;00:21:00;until internalise stool;20
21;2026-08-25;true;12:47:00;10:00:00;majestically drat;21
22;2026-08-25;false;03:39:00;01:03:00;finally aggressive consequently;22
23;2026-08-25;false;06:32:00;05:39:00;wrongly gnaw insolence;23
24;2026-08-25;true;01:01:00;17:32:00;recompense always pace;24
25;2026-08-25;false;13:05:00;19:22:00;joshingly;25
26;2026-08-25;false;13:25:00;12:20:00;tired;26
27;2026-08-25;false;19:21:00;09:58:00;commandeer;27
28;2026-08-25;true;18:22:00;07:12:00;gosh;28
29;2026-08-24;false;16:12:00;10:00:00;motivate incidentally till;29
30;2026-08-25;true;03:05:00;10:41:00;meanwhile ugh broadly;30
