id;weekday;start_time;end_time;slot_minutes;valid_from;valid_until;active;professional_id
1;MONDAY;23:44:00;01:28:00;21;2026-08-25;2026-08-25;true;1
2;THURSDAY;07:17:00;00:55:00;385;2026-08-25;2026-08-25;false;2
3;FRIDAY;23:19:00;14:58:00;45;2026-08-25;2026-08-25;true;3
4;MONDAY;06:23:00;17:23:00;92;2026-08-25;2026-08-25;false;4
5;WEDNESDAY;23:36:00;01:32:00;233;2026-08-25;2026-08-25;false;5
6;FRIDAY;19:30:00;03:04:00;370;2026-08-24;2026-08-25;false;6
7;THURSDAY;14:42:00;23:16:00;50;2026-08-25;2026-08-25;false;7
8;SATURDAY;02:16:00;16:55:00;385;2026-08-25;2026-08-25;false;8
9;WEDNESDAY;00:20:00;05:08:00;231;2026-08-25;2026-08-25;true;9
10;SUNDAY;00:25:00;00:53:00;11;2026-08-25;2026-08-25;true;10
11;THURSDAY;16:37:00;10:46:00;359;2026-08-25;2026-08-25;false;11
12;SATURDAY;19:06:00;00:35:00;251;2026-08-25;2026-08-25;true;12
13;WEDNESDAY;09:36:00;16:02:00;287;2026-08-25;2026-08-25;false;13
14;MONDAY;16:19:00;04:24:00;200;2026-08-25;2026-08-25;true;14
15;THURSDAY;04:59:00;15:21:00;127;2026-08-25;2026-08-24;false;15
16;FRIDAY;04:25:00;15:36:00;37;2026-08-24;2026-08-25;true;16
17;SUNDAY;04:43:00;07:20:00;415;2026-08-25;2026-08-25;true;17
18;WEDNESDAY;07:39:00;00:32:00;336;2026-08-25;2026-08-25;true;18
19;SATURDAY;08:51:00;18:52:00;190;2026-08-25;2026-08-25;true;19
20;WEDNESDAY;12:00:00;15:32:00;206;2026-08-25;2026-08-25;false;20
21;WEDNESDAY;18:54:00;04:16:00;402;2026-08-24;2026-08-25;true;21
22;WEDNESDAY;23:15:00;07:31:00;372;2026-08-25;2026-08-25;true;22
23;SATURDAY;01:17:00;19:48:00;159;2026-08-24;2026-08-25;false;23
24;MONDAY;02:49:00;19:09:00;394;2026-08-25;2026-08-25;false;24
25;TUESDAY;12:06:00;13:53:00;326;2026-08-25;2026-08-25;true;25
26;TUESDAY;00:10:00;22:15:00;66;2026-08-25;2026-08-25;false;26
27;FRIDAY;19:47:00;16:21:00;19;2026-08-25;2026-08-25;true;27
28;MONDAY;05:17:00;20:37:00;169;2026-08-25;2026-08-25;true;28
29;WEDNESDAY;14:45:00;04:15:00;172;2026-08-25;2026-08-25;false;29
30;THURSDAY;20:26:00;23:09:00;437;2026-08-25;2026-08-25;false;30
