id;reference;customer_login;author_name;author_initials;stars;published_on;body;professional_reply;booking_reference;professional_id
1;place far-off home;close legislature although;accidentally;whoe;1;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;handful positively;1
2;since trim;knowledgeable;fully;towa;4;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hyphenation;2
3;concerning yum;uh-huh warlike carelessly;beyond acclaimed vivaciously;mate;2;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;anti;3
4;hot;rival forager juvenile;preheat through ignorance;anti;5;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ack following;4
5;satirise;intrigue fooey;consequently;outr;3;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;how against whenever;5
6;deplore blah earth;dicker;storyboard;pres;3;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;evenly obediently;6
7;absentmindedly inferior;perp;stranger kit smarten;vici;5;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;joyfully furthermore;7
8;huzzah;gray bashfully;repeat artistic orchid;as d;4;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;around;8
9;woot leap;yippee misjudge;ravage vanadyl ugh;an;2;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;closely till extent;9
10;cheese;whose;incidentally;swin;1;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;huzzah outflank;10
11;worth;after trench;save;how ;5;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;promptly quiet;11
12;upon showy;vacation outgoing;majority aha after;alon;5;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;perky;12
13;hm finally;geez;hence er;and ;3;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;gah barracks;13
14;hm;enrich;till purse reproachfully;colo;3;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;provided yowza;14
15;oh even spectate;scoop;swordfish;that;4;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;incidentally of scarily;15
16;wherever;sparse monumental;accidentally than;clev;4;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;tenement;16
17;ew;wherever nervous triumphantly;to co-producer detective;CD;5;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;whoa;17
18;abandoned;gee;yellow;furi;1;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;drat;18
19;to;fooey ack forswear;tomb;coun;1;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;covenant regularly in;19
20;roger;brand impanel until;onto linear enrich;tran;3;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;forgather eek before;20
21;extremely;structure phooey psst;gosh;fata;2;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;but;21
22;obnoxiously hydrolyse despite;evenly;scaffold technician;mmm;5;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;gosh clearly absentmindedly;22
23;clueless meanwhile;meanwhile wallaby bulky;knuckle yet;grou;3;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;aw;23
24;developmental beside;institute boastfully incidentally;um wavy;apri;1;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ah;24
25;at bid urban;technologist atop since;blah guacamole;yowz;1;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;diversity till;25
26;valiantly;sternly when;regularly harp foolhardy;huzz;1;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;within robust yowza;26
27;however worriedly;utilized understated;till lest trouser;indi;5;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;above;27
28;lawmaker;where statue ack;handle big;need;5;2023-12-05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;stunt;28
29;median;beneath smoggy potentially;following;um h;1;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sit who interviewer;29
30;headline supposing;rubric untrue metal;for for;hype;1;2023-12-04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;cope a loyally;30
