id;direction;body;sent_at;read_at;conversation_id
1;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T01:43:46;2023-12-02T02:16:08;1
2;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T14:17:54;2023-12-02T04:51:10;2
3;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T17:07:51;2023-12-02T18:14:17;3
4;SYSTEM;../fake-data/blob/hipster.txt;2023-12-02T19:06:32;2023-12-01T21:40:17;4
5;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-01T23:49:03;2023-12-02T08:45:33;5
6;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T13:01:51;2023-12-02T16:59:41;6
7;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-01T20:33:21;2023-12-02T12:18:38;7
8;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T17:41:19;2023-12-02T09:34:53;8
9;SYSTEM;../fake-data/blob/hipster.txt;2023-12-02T13:28:45;2023-12-02T10:45:15;9
10;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T00:35:28;2023-12-02T08:27:38;10
11;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T03:16:21;2023-12-01T22:26:35;11
12;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T18:25:02;2023-12-02T19:39:12;12
13;SYSTEM;../fake-data/blob/hipster.txt;2023-12-01T23:57:49;2023-12-02T16:26:44;13
14;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-01T23:14:18;2023-12-02T06:32:39;14
15;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T12:45:36;2023-12-02T12:30:56;15
16;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-01T20:32:28;2023-12-02T05:40:46;16
17;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T14:02:58;2023-12-02T20:14:50;17
18;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T10:32:12;2023-12-02T14:16:44;18
19;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T00:10:20;2023-12-02T02:05:24;19
20;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-01T21:58:58;2023-12-01T22:03:42;20
21;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T06:56:37;2023-12-02T07:37:13;21
22;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T07:24:13;2023-12-02T10:38:05;22
23;SYSTEM;../fake-data/blob/hipster.txt;2023-12-02T07:11:13;2023-12-01T21:14:13;23
24;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T15:54:54;2023-12-02T12:02:04;24
25;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T04:51:25;2023-12-02T02:42:33;25
26;SYSTEM;../fake-data/blob/hipster.txt;2023-12-01T22:26:41;2023-12-02T04:58:08;26
27;CUSTOMER_TO_PROFESSIONAL;../fake-data/blob/hipster.txt;2023-12-02T07:08:07;2023-12-02T18:12:37;27
28;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T03:54:48;2023-12-02T00:57:43;28
29;SYSTEM;../fake-data/blob/hipster.txt;2023-12-02T14:27:53;2023-12-02T07:41:45;29
30;PROFESSIONAL_TO_CUSTOMER;../fake-data/blob/hipster.txt;2023-12-02T16:16:32;2023-12-02T05:14:20;30
