id;commission_rate;payout_lag_days;free_cancellation_hours;late_cancellation_pct;currency;effective_from
1;0.45;19009;2126;9207.71;pla;2023-12-03T16:37:38
2;0.33;6010;30971;17109.76;gro;2023-12-03T05:17:07
3;0.05;20613;9205;15549.24;chi;2023-12-03T23:30:37
4;0.84;6330;20550;496.01;alm;2023-12-03T16:56:19
5;0.18;13285;1223;24439.91;ove;2023-12-03T23:26:05
6;0.4;17557;23204;17797.53;dif;2023-12-03T04:57:07
7;0.73;7000;13122;24929.45;out;2023-12-03T23:10:07
8;0.31;1886;19038;11528.21;er ;2023-12-03T07:29:00
9;0.91;26933;4482;9991.66;jos;2023-12-03T14:07:45
10;0.7;18436;26792;22022.82;eme;2023-12-03T21:35:31
11;0.43;24773;15906;28247.06;pre;2023-12-03T04:08:17
12;0.88;9166;15018;13055.44;pup;2023-12-03T23:51:08
13;0.36;25626;15124;25325.53;cou;2023-12-03T18:49:33
14;0.44;15186;6237;22744.77;sol;2023-12-03T18:05:06
15;0.59;20550;26709;15482.48;lig;2023-12-03T06:04:17
16;0.84;3991;3892;19871.82;dee;2023-12-03T21:49:28
17;0.48;14353;13864;27616.51;sha;2023-12-03T17:52:47
18;0.17;14014;18511;12139.42;hea;2023-12-03T08:25:29
19;0.68;4620;28012;30263.51;tha;2023-12-03T10:29:49
20;0.48;8680;28239;14877.19;amo;2023-12-03T20:58:16
21;0.83;3700;6437;30385.08;bli;2023-12-03T08:11:30
22;0.04;25581;17643;8885.04;gee;2023-12-03T13:56:56
23;0.46;12282;11823;4446.78;thr;2023-12-03T10:20:35
24;0.14;10271;14447;28635.44;unl;2023-12-03T23:25:17
25;0.21;23281;24041;18572.1;pul;2023-12-04T00:13:48
26;0.63;13768;29150;10829.53;gli;2023-12-03T09:16:47
27;0.91;6084;29183;7049.06;dra;2023-12-03T05:41:04
28;0.97;3670;30715;1852.61;hm ;2023-12-03T12:13:26
29;0.49;7212;5407;840.55;tha;2023-12-03T18:23:15
30;0.91;23936;24785;17800.63;tra;2023-12-03T04:50:28
