id;reference;professional_ref;period_start;period_end;gross_minor;commission_minor;net_minor;currency;status;settled_on;bank_reference
1;unrealistic meaningfully remarkable;rebuild ugh;2023-12-03;2023-12-03;2519;18281;6295;til;FAILED;2023-12-03;ceramic
2;statue indeed anti;yahoo;2023-12-04;2023-12-03;4506;29565;9161;qui;FAILED;2023-12-03;behind blah
3;mature;until;2023-12-04;2023-12-04;16084;950;9580;shi;OPEN;2023-12-03;instead tinted manipulate
4;happily;scheme who;2023-12-03;2023-12-04;20329;11609;23805;to ;FAILED;2023-12-03;decision
5;circa commemorate;over yowza wicked;2023-12-03;2023-12-03;1408;9288;24790;tho;PAID;2023-12-03;allocation
6;rubbery blah whenever;phew amazing curl;2023-12-04;2023-12-03;25219;14964;17873;tim;PAID;2023-12-04;why silt
7;pish halt commemorate;regularly finding meanwhile;2023-12-03;2023-12-03;28682;16000;13404;gee;IN_PROGRESS;2023-12-04;for at
8;excepting;scout but through;2023-12-04;2023-12-03;12202;20231;14424;bac;OPEN;2023-12-03;even vacantly camouflage
9;yowza;where inside;2023-12-03;2023-12-03;4572;16931;3222;qua;OPEN;2023-12-03;measly bowed
10;now;regularly;2023-12-03;2023-12-03;14425;8948;706;bio;IN_PROGRESS;2023-12-03;rusty gee clone
11;near;failing own;2023-12-03;2023-12-03;23523;27826;18881;qui;FAILED;2023-12-03;aw
12;tough premium how;suddenly;2023-12-03;2023-12-03;30544;4942;205;str;FAILED;2023-12-03;intently although given
13;roughly behind ponder;unless palate record;2023-12-03;2023-12-03;24246;26560;17214;rep;OPEN;2023-12-03;preregister fooey
14;annual brr breakable;pluck;2023-12-03;2023-12-03;29070;3142;60;whe;OPEN;2023-12-03;before sheepishly lone
15;emphasize inscribe testing;seriously oh;2023-12-03;2023-12-03;1086;10869;31934;eve;OPEN;2023-12-03;flat upside-down
16;yum economise;whereas wordy provided;2023-12-03;2023-12-03;21132;29825;24085;nar;IN_PROGRESS;2023-12-03;sans sympathetically minus
17;likewise astride;yieldingly within;2023-12-04;2023-12-03;15807;12648;31477;ess;PAID;2023-12-03;sympathetically
18;vista truthfully unfit;yieldingly;2023-12-03;2023-12-03;16555;5588;28177;neg;OPEN;2023-12-03;garage
19;over violent always;wilt mild;2023-12-03;2023-12-03;402;5958;29375;dai;FAILED;2023-12-03;king
20;where;sedately meanwhile like;2023-12-03;2023-12-03;24974;28435;28469;sea;IN_PROGRESS;2023-12-03;torn skyscraper
21;wee fraudster;fork forage modulo;2023-12-03;2023-12-04;11767;9319;14002;rig;PAID;2023-12-03;while assist what
22;truthfully wisely into;glum;2023-12-03;2023-12-03;3551;25986;24179;ver;PAID;2023-12-03;um fortunately beneath
23;sting;why quaff;2023-12-03;2023-12-04;27660;14212;31412;inn;OPEN;2023-12-03;mouser haircut
24;deplore describe;sew boo case;2023-12-04;2023-12-03;22978;6530;11560;mad;FAILED;2023-12-04;times
25;quarterly consequently;oxygenate nab;2023-12-03;2023-12-03;18044;6721;32531;fin;FAILED;2023-12-03;aside
26;forenenst huzzah circa;scowl pfft;2023-12-03;2023-12-03;27655;14997;16776;blu;OPEN;2023-12-03;failing finally
27;or maintainer;even provider;2023-12-03;2023-12-03;31289;26852;22960;yet;IN_PROGRESS;2023-12-03;developmental forenenst pave
28;ick ouch;unless earnest litter;2023-12-03;2023-12-03;28388;13455;4599;tre;PAID;2023-12-03;dependent
29;imaginative whenever;inside pfft furlough;2023-12-04;2023-12-03;11452;31107;10725;apu;IN_PROGRESS;2023-12-03;ick strictly yowza
30;overplay foolishly kosher;violently before;2023-12-03;2023-12-03;820;29649;13299;off;OPEN;2023-12-04;achieve flowery outnumber
